question,result
59859,1
239576,0
239579,0
239607,1
239611,0
239617,0
239626,0
239636,0
239655,0
239669,0
239683,0
239722,0
239724,0
239726,0
239733,0
239747,0
239781,0
239787,0
239793,0
239796,0
239800,0
239812,0
239813,0
239868,0
239883,0
239917,0
239958,0
239980,0
239984,1
240043,0
240047,0
240295,0
240317,0
240338,0
240345,0
240377,0
240390,0
240392,0
240409,0
240415,0
240428,0
240430,0
240438,0
240449,0
240454,0
240468,0
240485,0
240489,0
240490,0
240494,0
240519,0
240521,0
240523,0
240524,0
240528,0
240586,1
240615,1
240616,0
240623,0
240642,0
240644,0
240647,0
240715,0
240726,0
240756,0
240772,0
240793,0
240797,0
240814,0
240822,0
240848,0
240852,0
240855,0
240858,0
240860,1
240878,1
240879,1
240891,0
240941,1
240944,1
240947,1
240953,0
240959,0
240969,0
240972,0
240977,0
240978,1
240986,0
241011,0
241023,0
241056,0
241114,0
241137,0
241138,0
241142,0
241148,0
241166,0
241181,0
241216,0
241222,1
241236,0
241244,0
241254,0
241275,0
241279,0
241312,0
241324,0
241338,0
241340,0
241346,1
241353,0
241356,0
241364,0
241366,0
241381,0
241383,0
241391,0
241392,0
241682,0
241724,0
241736,0
241740,0
241743,0
241747,0
241749,0
241751,0
241776,0
241780,0
241796,0
241807,1
241808,0
241813,0
241816,0
241822,0
241835,0
241864,0
241867,0
241868,0
241883,0
241884,0
241888,0
241889,0
241897,0
241898,0
241903,0
241915,0
241935,0
241945,0
241955,0
241983,0
242268,0
242296,0
242303,0
242311,0
242313,0
242331,0
242337,0
242351,0
242368,0
242392,0
242400,0
242409,0
242413,0
242419,0
242424,0
242429,0
242445,0
242446,0
242453,0
242466,0
242476,0
242478,0
242479,0
242489,0
242490,0
242494,0
242501,0
242507,0
242538,0
242544,0
242551,1
242556,0
242557,0
242569,0
242576,0
242578,0
242585,0
242592,0
242602,1
242607,0
242657,0
242659,0
242673,0
242691,0
242704,0
242756,1
242774,0
242789,0
242791,0
242798,0
242800,1
242805,0
242821,0
242830,0
242833,0
242849,0
242850,0
242852,0
242855,0
242860,0
242865,0
243352,0
243360,0
243365,0
243373,1
243388,0
243403,0
243411,0
243421,0
243438,0
243450,0
243458,0
243465,0
243476,0
243478,0
243480,0
243505,0
243512,0
